Id,SalePrice
2658,91827.92801747246
2718,194255.5566657755
2414,193211.54526438672
1989,127854.41060382602
625,161178.19845812905
333,110627.11143048228
1327,127760.11354307951
858,151174.77415149997
95,202511.32408585638
1568,159446.87016553595
2482,168825.49976140924
1364,139834.09433829234
2584,153114.59204586688
818,291994.1851856843
2673,148862.12254648714
2089,125997.63734172938
1297,139468.64647880162
790,123690.26457821163
2616,215062.88611163798
720,169930.23536668072
222,138050.77361757212
557,111767.38229921082
1148,197112.427731699
2766,139575.89509529062
534,194706.10333805886
1452,121569.0528361765
630,138990.29013431905
2648,92850.23412776973
125,132566.25079294917
1904,60323.73100617601
1670,110356.39901071726
756,106149.74821040557
717,195540.95380564957
1032,149437.3755627577
852,211455.28518633227
1731,181468.81479231743
2639,101539.26935990035
2071,81174.25286415753
1267,127122.39177075477
1851,201366.84751644026
567,163618.53651233282
2439,215123.69874877378
1898,152935.02031839994
647,151492.03204721617
2256,203030.48573976828
979,114293.4515931231
1444,209776.58434511302
2485,124046.43691233768
157,129153.45905944872
88,119972.44809854265
2003,105832.68965771061
186,207889.78134937756
1425,249922.97001108955
2695,136943.90300457127
738,114267.76651715583
395,151901.8087992534
1353,170358.32364412423
1878,147267.88390218918
390,167728.14750372907
1456,214700.63268864783
1103,280704.7686370702
1387,114709.15353062523
2070,137274.00129002213
1199,180414.85008240846
2479,174929.19768861833
501,282291.1806895213
2362,95759.58370699463
1718,183336.87181683086
2188,85945.48148790697
1483,152697.61686219092
2557,89638.19795733687
437,338116.97070152
2224,167362.3239078084
1628,185245.15324557215
397,132442.01404025333
587,189319.22871200778
971,157755.60776684407
2611,155759.03415521907
1887,101672.74150048659
2399,325405.4351111237
2148,211123.3570723831
304,128939.6830835999
1997,135600.43180420372
2817,120341.01059945938
1431,168552.48067570233
427,328408.2426480434
263,121232.88724401615
598,161364.2520115674
2895,237004.47283187084
687,151631.92134390277
1822,135211.89375928344
2191,98401.39232352075
179,149967.21429406182
1009,201522.48910544222
2010,133334.43562722122
1991,144899.4456101475
1411,146620.61274866224
1721,244172.0087288495
1144,183101.9189984881
593,219206.86870185653
575,246478.21690204428
1249,180050.98396623012
1604,130235.61077770415
1064,459253.063918512
1923,140973.28504767508
1988,107487.63693213674
2325,168980.12137443916
114,187855.87429045705
2700,187979.5163127731
217,117845.77889691883
343,166695.2047795564
386,226466.74167130474
2005,121610.38952828787
2908,136260.50905990438
1814,210840.6186430611
2446,539068.979912561
208,144783.8893973581
1679,129815.41586411805
822,318490.9261674849
6,175358.10725545176
1781,385919.339204032
2397,253797.78042621506
2340,317762.4741364148
1618,171632.85870404672
2843,124296.35430155545
1061,349288.7417362235
2786,122465.716782213
1935,135472.11000506714
1341,119408.72313723511
521,265541.4332789949
2136,134602.28945024867
996,182491.927319675
227,133408.82463250234
135,157746.33884399472
1167,174563.79817082026
294,208819.65519799286
1776,199636.16140060386
540,173942.03107110175
1717,183336.87181683086
2303,127521.22706097561
116,174435.62763326537
127,133975.33911927414
1371,145493.93497037757
1014,150550.82019202545
1507,99400.92200563652
702,138739.23702423138
750,130349.60400132164
261,152497.55319530168
1559,75506.36973082884
577,215977.12064829335
2812,208064.14104919668
2080,152994.58647652066
1368,122197.88256724592
2376,121899.66786827269
659,104283.8718682102
1235,124876.02986938402
332,94942.14903746611
1917,143404.31736552913
2094,244186.24489812754
1460,263159.8999140746
1471,190785.30413349636
1509,131726.06906230454
1922,137861.63436407986
433,550448.9016065852
460,287965.87363848125
1116,245012.1149829473
1137,158260.84495088988
53,187970.13852049378
2354,233999.7894247605
1475,210771.37791799294
1761,715104.8182000224
842,141176.4815339543
2739,153962.12063468227
2509,176745.09395595794
1007,215395.30948302167
2610,171728.38126234285
1952,94625.70985485427
2719,188722.62323417125
2921,111443.07026177751
1966,134871.59736364702
292,109229.76938793823
1204,187124.44964988536
1829,237058.61220230398
2419,195120.41267155175
391,165031.50112703693
798,129495.87535483774
481,192628.66900980214
193,181268.24783765303
